article_id,title,section,snippet
1,Mexico's Fox Vows Justice in Mob Slayings (AP),World,AP - President Vicente Fox on Monday promised the relatives of a federal police officer burned alive by an angry mob that he would ensure those responsible for the killing are punished and that police authorities who failed to come to his aid would be investigated.
2,US deserter starts life in Japan,World,A former US army sergeant who deserted to North Korea in the 1960s has arrived on a remote Japanese island to start what he said was the quot;last chapter quot; of his life with his wife and two daughters.
3,ONGC #39;s 10th acquisition abroad,World,"ONGC Videsh Ltd, the overseas arm of state-run Oil and Natural Gas Corp, has acquired a majority stake in an oil block in Australia."
4,He's set up to pitch in,Sports,Everyone figured he was done for the season. So Scott Williamson joined the ranks of medical marvels last night when the Red Sox activated him from the disabled list with the hope the once-dominating setup man can help them win the American League East and much more.
5,Apple earns less than a nickel per iTunes track,Sci/Tech,"Record labels are demanding such a large cut from online music sales that several of existing online music stores will eventually be forced to go under, The Independent cautions today."
6,Land of Potatoes Aims to Be High-Tech Hotbed (Reuters),Sci/Tech,Reuters - Jeffrey Moeser and his company are\aiming to change the future of home entertainment.
7,Israeli Unions End Crippling General Strike (Reuters),World,"Reuters - Israel's labor unions ended a\paralyzing two-day general strike on Wednesday that grounded\international air traffic, shut financial markets and halted\public services in a dispute over unpaid wages."
8,Graphic Designer Fired After Heckling Bush (AP),World,AP - A man who heckled President Bush at a political rally was fired from his job at an advertising and design company for offending a client who provided tickets to the event.
9,Microsoft stops winking on MSN 7.0 beta,Sci/Tech,"Microsoft has delayed beta testing of the next version of MSN Messenger because of a security flaw. Vulnerabilities were discovered in MSN Messenger 7.0, due to be released today, after testers found it had"
10,Red Sox Fans Finally See Team Win Title (AP),Sports,"AP - Red Sox fans waited 85 years to celebrate this moment. After so many disappointing Octobers, it was finally Boston's turn to enjoy a World Series victory."
11,A class apart: cameras,Business,Photographers interested in kicking their dependence on chemicals and processing labs can learn to do so with an Exploring Digital Cameras class.
12,FCC Chief Pushes Internet-Phone Regulations (NewsFactor),Sci/Tech,"NewsFactor - Citing a need to nurture the emerging, ""revolutionary"" voice over\Internet protocol (VoIP) industry, FCC chairman Michael Powell is\calling for regulations that would grant the federal government greater\control."
13,AMD Aims Low-cost Personal Internet Communicator at Developing &lt;b&gt;...&lt;/b&gt;,Sci/Tech,AMD launched an initiative to enable 50 of the world #39;s population with Internet connectivity and computing capabilities by 2015.
14,Detroit zoo considers options for two elderly elephants,Sci/Tech,"ROYAL OAK, Mich. The Detroit Zoo is considering what to do with two elderly elephants after its efforts to move the elephants to a sanctuary were rebuffed."
15,"Titans Can Move Ball, but Can't Score (AP)",Sports,"AP - The Tennessee Titans are doing a great job of holding onto the ball. Now, they have to find a way to get into the end zone."
16,Yahoo Buys E-Mail Search Firm Stata Labs,Sci/Tech,"Yahoo is eager to improve its Web-based Yahoo Mail, which competes most directly with market-leader Hotmail from Microsoft. Though many of the users of those services do not pay for them, the"
17,Student Finds New Species of Amphibian (AP),Sci/Tech,"AP - A freshman geology student on a field trip stumbled across the fossil of an oversized, salamander-like creature with vicious crocodile-like teeth that lived about 300 million years ago, paleontologists said."
18,US success will hinge on philosophy change,Sports,"ATHENS -- Unfortunately for the United States, the Olympic boxing tournament has gone just about as expected."
19,EMC Takes On NetApp,Sci/Tech,"EMC is taking direct aim at Network Appliance this week with a new line of midrange NAS appliances. And NetApp is firing back, charging that EMC #39;s Centera content-addressable storage arrays are not secure"
20,RosettaNet takes standards push to small firms,Sci/Tech,"The group, which is pushing for adoption of a universal e-business language, wants to make its standards easier and cheaper to use."
21,"Marine, insurgent tactics evolve",World,"In Fallujah, US officers say the remaining Iraqi rebels are smart, and adapting to changing battle conditions."
22,Kent joins Dodgers for two years,Sports,"CBC SPORTS ONLINE - The Los Angeles Dodgers landed a dandy Thursday in free-agent infielder Jeff Kent. Kent, 36, agreed to a two-year contract, but financial terms were not disclosed."
23,There #39;s nothing to suggest this club will repeat history,Sports,"Maybe all you need to know about these Astros is that when someone mentioned the franchise #39;s history of first-round flameouts to Roger Clemens on Tuesday, he looked like he #39;d"
24,Satellite fault shuts train doors,Sci/Tech,"A satellite system which automatically opens train doors has failed, leaving passengers stuck on board."
25,Ground 'Moves' as Cane Toads Invade Australia Park (Reuters),Sci/Tech,"Reuters - Hundreds of thousands of poisonous baby\cane toads invaded an Australian national park on Friday,\hopping around in such numbers that the ground seemed to move,\an ecologist said."
26,EU-Iranian talks on resolving nuclear issue still on track &lt;b&gt;...&lt;/b&gt;,World,"The Iranian parliament #39;s vote backing the resumption of uranium enrichment was mainly tactical, designed to strengthen Tehran #39;s hand in nuclear talks with the EU, rather than a rejection of European demands for a halt to enrichment, diplomats said Monday."
27,"Citigroup division ordered to pay fine, restitution for high-risk &lt;b&gt;...&lt;/b&gt;",Business,"Securities regulators have ordered a division of Citigroup Inc. to pay \$478,000 in a fine and restitution for allegedly recommending high-risk commodity futures funds to people who shouldn"
28,"""Monster"" Waves Suprisingly Common, Satellites Show",Sci/Tech,Rogue waves #151;eight or more stories or higher #151;are freaks of the ocean once thought to be tall tales told by sailors. But now scientists have satellite evidence that the massive upwellings are not only real but also fairly common.
29,Henman making surprising Open run,Sports,Imagine defending US Open champ Andy Roddick reaching his peak eight years from now. Unfathomable. Roddick playing better as a 30-year old than at 22?
30,Hardie talks recommence as compensation fund prepares to file for &lt;b&gt;...&lt;/b&gt;,Business,ELEANOR HALL: Talks aimed at finding a long term solution for James Hardie #39;s asbestos victims are set to restart today. But there seems to be little hope that the sides will find agreement soon on meeting
31,CA #39;s Ex-CEO indicted on fraud,Business,"An anonymous reader writes quot;CNN is carrying a story about how Sanjay Kumar, ex-CEO of Computer Associates, was indicted on fraud charges."
32,Your webcam #39;s spying on you,Sci/Tech,"The next time you are in your bedroom with your PC plus Webcam switched on, don #39;t think that your privacy is all intact. If you have a Webcam plugged into an infected computer, there is a possibility that"
33,Schuettler outclasses Baccanello to reach the second round of &lt;b&gt;...&lt;/b&gt;,Sports,"Fourth seed Rainer Schuettler reached the second round of China Open here on Monday with a 6-4, 6-3 victory over unseeded Australian Paul Baccanello."
34,"Terrorism isnt just US, Israeli problem",World,"When the controversial Dutch artist and filmmaker Theo van Gogh was slain in an Amsterdam street last week by a Muslim suspect, it was more than a murder story."
